machine,modele,quantification,n_threads,n_ctx,prompt,classe,n_caracteres,max_tokens,run,tokens,duree_s,energie_kWh,joules,joules_pmic,joules_pmic_cpu,w_moyen_pmic
Pi5,Llama-3.2-1B,Q3_K_L,4,512,Does cognitive empathy exist?,court,29,16,1,16,1.2,3.0867752847048377e-06,11.1,8.4,6.3,7.41
Pi5,Llama-3.2-1B,Q3_K_L,4,512,Does cognitive empathy exist?,court,29,16,2,16,1.24,3.258553273716329e-06,11.7,8.3,6.3,7.27
Pi5,Llama-3.2-1B,Q3_K_L,4,512,Does cognitive empathy exist?,court,29,16,3,16,1.23,3.272118948747421e-06,11.8,6.9,5.2,7.49
Pi5,Llama-3.2-1B,Q3_K_L,4,512,Generate a movie review,court,23,16,1,16,1.2,3.0422674713465516e-06,11.0,7.7,5.7,6.77
Pi5,Llama-3.2-1B,Q3_K_L,4,512,Generate a movie review,court,23,16,2,16,1.2,3.0501844267383536e-06,11.0,8.5,6.5,7.38
Pi5,Llama-3.2-1B,Q3_K_L,4,512,Generate a movie review,court,23,16,3,16,1.2,3.078856022331308e-06,11.1,8.7,6.7,7.57
Pi5,Llama-3.2-1B,Q3_K_L,4,512,Identify popular dishes in Mexico.,court,34,16,1,16,1.27,3.556864920207542e-06,12.8,7.7,5.8,6.73
Pi5,Llama-3.2-1B,Q3_K_L,4,512,Identify popular dishes in Mexico.,court,34,16,2,16,1.27,3.481063123407414e-06,12.5,9.4,7.3,7.61
Pi5,Llama-3.2-1B,Q3_K_L,4,512,Identify popular dishes in Mexico.,court,34,16,3,16,1.26,3.4600935577384115e-06,12.5,9.4,7.4,8.21
Pi5,Llama-3.2-1B,Q3_K_L,4,512,What is unique about a hyperbole?,court,33,16,1,16,1.3,3.796196413665748e-06,13.7,8.4,6.4,7.32
Pi5,Llama-3.2-1B,Q3_K_L,4,512,What is unique about a hyperbole?,court,33,16,2,16,1.28,3.6309759290906913e-06,13.1,8.4,6.4,7.35
Pi5,Llama-3.2-1B,Q3_K_L,4,512,What is unique about a hyperbole?,court,33,16,3,16,1.31,3.969063212253044e-06,14.3,9.0,6.9,7.28
