machine,modele,quantification,n_threads,n_ctx,prompt,classe,n_caracteres,max_tokens,run,tokens,duree_s,energie_kWh,joules,joules_pmic,joules_pmic_cpu,w_moyen_pmic
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Does cognitive empathy exist?,court,29,16,1,16,2.72,4.917827584314962e-06,17.7,10.0,6.2,3.93
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Does cognitive empathy exist?,court,29,16,2,16,2.73,4.922432555554908e-06,17.7,10.2,6.3,4.17
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Does cognitive empathy exist?,court,29,16,3,16,2.7,4.890043115991693e-06,17.6,10.6,6.7,4.16
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Generate a movie review,court,23,16,1,16,3.16,6.338051312412797e-06,22.8,14.8,9.6,5.11
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Generate a movie review,court,23,16,2,16,2.67,4.852658338464466e-06,17.5,11.1,7.1,4.21
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Generate a movie review,court,23,16,3,16,2.7,4.881791069555948e-06,17.6,10.7,6.9,4.22
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Identify popular dishes in Mexico.,court,34,16,1,16,2.88,5.130317643572036e-06,18.5,11.4,7.5,4.15
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Identify popular dishes in Mexico.,court,34,16,2,16,2.74,4.939443150788362e-06,17.8,10.7,6.8,4.19
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Identify popular dishes in Mexico.,court,34,16,3,16,2.77,4.981587598612073e-06,17.9,10.4,6.6,4.08
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,What is unique about a hyperbole?,court,33,16,1,16,2.8,5.031387255871581e-06,18.1,11.9,7.7,4.31
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,What is unique about a hyperbole?,court,33,16,2,16,2.77,4.984121848783055e-06,17.9,11.6,7.5,4.37
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,What is unique about a hyperbole?,court,33,16,3,16,2.9,5.149538933439765e-06,18.5,11.0,6.8,3.95
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write an emergency response plan,court,32,16,1,16,2.71,4.8978092780495446e-06,17.6,10.8,6.9,4.24
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write an emergency response plan,court,32,16,2,16,2.72,4.915964043383464e-06,17.7,10.6,6.8,4.16
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write an emergency response plan,court,32,16,3,16,2.73,4.9204729971358335e-06,17.7,9.8,5.9,3.85
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Generate a quiz about physics.,court,30,16,1,16,2.73,4.929577076662409e-06,17.7,11.0,7.1,4.11
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Generate a quiz about physics.,court,30,16,2,16,2.91,5.158820392657707e-06,18.6,11.6,7.4,4.15
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Generate a quiz about physics.,court,30,16,3,16,2.78,4.988953568025854e-06,18.0,11.0,6.8,4.0
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Develop a metaphor for hope.,court,28,16,1,16,2.8,5.01160870291853e-06,18.0,10.9,6.9,4.08
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Develop a metaphor for hope.,court,28,16,2,16,2.79,5.014318608917392e-06,18.1,10.6,6.6,3.96
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Develop a metaphor for hope.,court,28,16,3,16,2.79,5.021150783363031e-06,18.1,11.6,7.4,4.36
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,1,16,3.0,5.247395919019502e-06,18.9,12.5,8.2,4.34
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,2,16,3.03,5.277636623171345e-06,19.0,12.6,8.3,4.35
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,3,16,2.9,5.150209378402509e-06,18.5,11.5,7.6,4.35
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Describe the primary colors.,court,28,16,1,16,2.76,4.988331815179359e-06,18.0,11.3,7.2,4.43
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Describe the primary colors.,court,28,16,2,16,2.77,4.982760416284928e-06,17.9,10.5,6.6,3.97
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Describe the primary colors.,court,28,16,3,16,2.73,4.93619492990683e-06,17.8,10.5,6.6,4.1
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Name two first aid treatments for a cut.,court,40,16,1,16,2.84,5.076930798710276e-06,18.3,11.3,7.4,4.24
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Name two first aid treatments for a cut.,court,40,16,2,16,2.81,5.028898675026524e-06,18.1,11.4,7.6,4.46
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Name two first aid treatments for a cut.,court,40,16,3,16,2.9,5.153054279840618e-06,18.6,11.8,7.6,4.24
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write one sentence about handwashing.,court,37,16,1,16,2.76,4.9793172053796465e-06,17.9,11.6,7.6,4.35
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write one sentence about handwashing.,court,37,16,2,16,2.74,4.932174809764725e-06,17.8,11.2,7.1,4.22
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write one sentence about handwashing.,court,37,16,3,16,2.9,5.177261383162008e-06,18.6,11.3,7.2,4.06
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Who is Samantha Andrews?,court,24,16,1,16,2.74,4.944330104466091e-06,17.8,11.5,7.4,4.33
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Who is Samantha Andrews?,court,24,16,2,16,2.77,5.001694611386703e-06,18.0,11.0,6.9,4.17
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Who is Samantha Andrews?,court,24,16,3,16,2.77,4.9812792055339974e-06,17.9,10.5,6.6,3.98
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,What year did WW2 start?,court,24,16,1,16,2.77,5.055604810162937e-06,18.2,10.7,6.8,4.2
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,What year did WW2 start?,court,24,16,2,16,2.74,4.939559227127049e-06,17.8,10.8,6.8,4.24
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,What year did WW2 start?,court,24,16,3,16,2.77,4.9849138801584145e-06,17.9,10.4,6.5,4.09
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Give 10 features of the sun.,court,28,16,1,16,2.81,5.031453421050481e-06,18.1,12.0,7.8,4.32
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Give 10 features of the sun.,court,28,16,2,16,2.78,4.998326271118455e-06,18.0,11.7,7.6,4.43
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Give 10 features of the sun.,court,28,16,3,16,2.8,5.0265027807229684e-06,18.1,11.8,7.7,4.43
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write a mock newspaper headline.,court,32,16,1,16,2.78,4.986393135449389e-06,18.0,11.4,7.4,4.31
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write a mock newspaper headline.,court,32,16,2,16,2.77,4.985094297050633e-06,17.9,10.5,6.5,3.97
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write a mock newspaper headline.,court,32,16,3,16,2.78,5.217914111797303e-06,18.8,11.0,6.9,4.11
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,1,16,3.01,5.247691322948456e-06,18.9,13.0,8.7,4.52
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,2,16,3.0,5.245462426032577e-06,18.9,12.0,7.8,4.19
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,3,16,2.97,5.246118065338104e-06,18.9,13.1,8.8,4.7
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,16,1,16,3.05,5.778761669929414e-06,20.8,15.2,10.3,5.23
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,16,2,16,3.0,5.248176212205009e-06,18.9,13.1,8.9,4.7
