machine,modele,quantification,prompt,classe,n_caracteres,max_tokens,run,tokens,duree_s,energie_kWh,joules,joules_pmic,joules_pmic_cpu,w_moyen_pmic
Pi5,SmolLM2-1.7B,Q3_K_M,Does cognitive empathy exist?,court,29,16,1,0,0.27,1.6228025462646068e-06,5.8,1.4,1.1,5.97
Pi5,SmolLM2-1.7B,Q3_K_M,Does cognitive empathy exist?,court,29,16,2,0,0.26,1.614483539615663e-06,5.8,1.2,0.9,5.11
Pi5,SmolLM2-1.7B,Q3_K_M,Does cognitive empathy exist?,court,29,16,3,0,0.25,1.6050595770555373e-06,5.8,1.8,1.5,7.84
Pi5,SmolLM2-1.7B,Q3_K_M,Generate a movie review,court,23,16,1,16,1.99,4.622848196280853e-06,16.6,9.8,6.8,5.54
Pi5,SmolLM2-1.7B,Q3_K_M,Generate a movie review,court,23,16,2,16,2.03,4.433621834539415e-06,16.0,9.1,6.0,4.76
Pi5,SmolLM2-1.7B,Q3_K_M,Generate a movie review,court,23,16,3,16,2.0,4.4121919409001435e-06,15.9,10.8,7.5,5.7
Pi5,SmolLM2-1.7B,Q3_K_M,Identify popular dishes in Mexico.,court,34,16,1,0,0.32,1.6865856494445983e-06,6.1,1.6,1.3,7.02
Pi5,SmolLM2-1.7B,Q3_K_M,Identify popular dishes in Mexico.,court,34,16,2,0,0.32,1.6939941248333145e-06,6.1,1.4,1.1,6.14
Pi5,SmolLM2-1.7B,Q3_K_M,Identify popular dishes in Mexico.,court,34,16,3,0,0.3,1.6605624116426267e-06,6.0,1.6,1.2,6.83
Pi5,SmolLM2-1.7B,Q3_K_M,What is unique about a hyperbole?,court,33,16,1,0,0.44,1.8476681169095555e-06,6.7,1.3,1.0,5.54
Pi5,SmolLM2-1.7B,Q3_K_M,What is unique about a hyperbole?,court,33,16,2,0,0.43,1.8346585737777255e-06,6.6,1.4,1.1,6.19
Pi5,SmolLM2-1.7B,Q3_K_M,What is unique about a hyperbole?,court,33,16,3,0,0.44,1.841019124833287e-06,6.6,1.6,1.2,6.87
Pi5,SmolLM2-1.7B,Q3_K_M,Write an emergency response plan,court,32,16,1,5,0.86,2.3762311921589024e-06,8.6,3.7,2.6,5.36
Pi5,SmolLM2-1.7B,Q3_K_M,Write an emergency response plan,court,32,16,2,5,0.88,2.4066547764644447e-06,8.7,4.9,3.7,6.28
Pi5,SmolLM2-1.7B,Q3_K_M,Write an emergency response plan,court,32,16,3,5,0.87,2.3855799113891106e-06,8.6,4.2,3.1,6.19
Pi5,SmolLM2-1.7B,Q3_K_M,Generate a quiz about physics.,court,30,16,1,16,2.13,4.571668877008606e-06,16.5,10.4,7.3,5.2
Pi5,SmolLM2-1.7B,Q3_K_M,Generate a quiz about physics.,court,30,16,2,16,2.08,4.496226357938265e-06,16.2,11.5,8.1,5.73
Pi5,SmolLM2-1.7B,Q3_K_M,Generate a quiz about physics.,court,30,16,3,16,2.08,4.4961399677183024e-06,16.2,11.1,7.9,5.81
Pi5,SmolLM2-1.7B,Q3_K_M,Develop a metaphor for hope.,court,28,16,1,0,0.33,1.6979549063151797e-06,6.1,1.3,1.0,5.71
Pi5,SmolLM2-1.7B,Q3_K_M,Develop a metaphor for hope.,court,28,16,2,0,0.32,1.6910900062949453e-06,6.1,1.4,1.1,6.25
Pi5,SmolLM2-1.7B,Q3_K_M,Develop a metaphor for hope.,court,28,16,3,0,0.3,1.6658384708218985e-06,6.0,1.8,1.4,7.62
Pi5,SmolLM2-1.7B,Q3_K_M,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,1,5,1.24,2.9204891265756986e-06,10.5,7.0,5.3,6.17
Pi5,SmolLM2-1.7B,Q3_K_M,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,2,5,1.23,2.922362828694502e-06,10.5,7.1,5.3,6.25
Pi5,SmolLM2-1.7B,Q3_K_M,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,3,5,1.24,2.922293980657469e-06,10.5,6.6,5.0,6.52
Pi5,SmolLM2-1.7B,Q3_K_M,Describe the primary colors.,court,28,16,1,0,0.3,1.6598155117665528e-06,6.0,1.4,1.0,6.03
Pi5,SmolLM2-1.7B,Q3_K_M,Describe the primary colors.,court,28,16,2,0,0.26,1.6130886713054758e-06,5.8,0.9,0.5,3.99
Pi5,SmolLM2-1.7B,Q3_K_M,Describe the primary colors.,court,28,16,3,0,0.28,1.6407950524998493e-06,5.9,1.3,1.0,5.8
Pi5,SmolLM2-1.7B,Q3_K_M,Name two first aid treatments for a cut.,court,40,16,1,0,0.49,1.9013239796666109e-06,6.8,2.8,2.1,6.13
Pi5,SmolLM2-1.7B,Q3_K_M,Name two first aid treatments for a cut.,court,40,16,2,0,0.44,1.840267222166732e-06,6.6,1.4,1.1,6.16
Pi5,SmolLM2-1.7B,Q3_K_M,Name two first aid treatments for a cut.,court,40,16,3,0,0.44,1.8392075386565752e-06,6.6,1.4,1.1,6.26
Pi5,SmolLM2-1.7B,Q3_K_M,Write one sentence about handwashing.,court,37,16,1,0,0.34,1.7148355692634044e-06,6.2,1.8,1.4,7.74
Pi5,SmolLM2-1.7B,Q3_K_M,Write one sentence about handwashing.,court,37,16,2,0,0.39,1.77211837149999e-06,6.4,1.1,0.7,4.85
Pi5,SmolLM2-1.7B,Q3_K_M,Write one sentence about handwashing.,court,37,16,3,0,0.37,1.7548482987776626e-06,6.3,1.7,1.4,7.55
Pi5,SmolLM2-1.7B,Q3_K_M,Who is Samantha Andrews?,court,24,16,1,0,0.25,1.6033815489820826e-06,5.8,1.6,1.2,6.87
Pi5,SmolLM2-1.7B,Q3_K_M,Who is Samantha Andrews?,court,24,16,2,0,0.27,1.6192815725988656e-06,5.8,1.1,0.8,4.86
Pi5,SmolLM2-1.7B,Q3_K_M,Who is Samantha Andrews?,court,24,16,3,0,0.27,1.6262636297097538e-06,5.9,1.4,1.0,5.93
Pi5,SmolLM2-1.7B,Q3_K_M,What year did WW2 start?,court,24,16,1,0,0.34,1.7157809349110337e-06,6.2,1.8,1.4,7.89
Pi5,SmolLM2-1.7B,Q3_K_M,What year did WW2 start?,court,24,16,2,0,0.38,1.7633313283332908e-06,6.3,1.2,0.9,5.42
Pi5,SmolLM2-1.7B,Q3_K_M,What year did WW2 start?,court,24,16,3,0,0.4,1.7878889152432952e-06,6.4,1.4,1.1,6.13
Pi5,SmolLM2-1.7B,Q3_K_M,Give 10 features of the sun.,court,28,16,1,0,0.43,1.8349908305072031e-06,6.6,1.8,1.4,7.64
Pi5,SmolLM2-1.7B,Q3_K_M,Give 10 features of the sun.,court,28,16,2,0,0.44,1.8368579034608715e-06,6.6,1.8,1.5,7.84
Pi5,SmolLM2-1.7B,Q3_K_M,Give 10 features of the sun.,court,28,16,3,0,0.42,1.8110335105554642e-06,6.5,1.8,1.4,7.63
Pi5,SmolLM2-1.7B,Q3_K_M,Write a mock newspaper headline.,court,32,16,1,0,0.32,1.6952031157223675e-06,6.1,1.4,1.1,6.26
Pi5,SmolLM2-1.7B,Q3_K_M,Write a mock newspaper headline.,court,32,16,2,0,0.32,1.6919822554999908e-06,6.1,1.2,0.8,5.17
Pi5,SmolLM2-1.7B,Q3_K_M,Write a mock newspaper headline.,court,32,16,3,0,0.29,1.6552495348370434e-06,6.0,1.5,1.2,6.77
Pi5,SmolLM2-1.7B,Q3_K_M,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,1,0,0.72,2.2025316605950133e-06,7.9,3.2,2.5,6.98
Pi5,SmolLM2-1.7B,Q3_K_M,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,2,0,0.73,2.2061299739998882e-06,7.9,4.8,3.8,7.04
Pi5,SmolLM2-1.7B,Q3_K_M,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,3,0,0.81,2.3098955519445656e-06,8.3,3.6,2.7,5.31
Pi5,SmolLM2-1.7B,Q3_K_M,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,16,1,16,2.74,6.132466055552229e-06,22.1,16.7,12.5,6.23
Pi5,SmolLM2-1.7B,Q3_K_M,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,16,2,16,2.71,6.0755076432568005e-06,21.9,17.4,13.2,6.51
Pi5,SmolLM2-1.7B,Q3_K_M,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,16,3,16,2.78,6.189503303199064e-06,22.3,15.5,11.4,5.84
Pi5,SmolLM2-1.7B,Q3_K_M,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,16,1,0,0.72,2.198717251385936e-06,7.9,4.9,4.0,7.21
Pi5,SmolLM2-1.7B,Q3_K_M,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,16,2,0,0.74,2.2190777405243187e-06,8.0,4.3,3.4,6.36
Pi5,SmolLM2-1.7B,Q3_K_M,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,16,3,0,0.72,2.2030289772414703e-06,7.9,3.8,3.1,6.85
Pi5,SmolLM2-1.7B,Q3_K_M,"Rewrite the given program in Java.
a = 4
b = 5
c = a + b
print(c)",moyen,65,16,1,16,3.07,7.852668288732647e-06,28.3,19.4,14.7,6.37
Pi5,SmolLM2-1.7B,Q3_K_M,"Rewrite the given program in Java.
a = 4
b = 5
c = a + b
print(c)",moyen,65,16,2,16,3.06,7.668322326088304e-06,27.6,18.3,14.0,6.3
