machine,modele,quantification,n_threads,n_ctx,prompt,classe,n_caracteres,max_tokens,run,tokens,duree_s,energie_kWh,joules,joules_pmic,joules_pmic_cpu,w_moyen_pmic
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Does cognitive empathy exist?,court,29,16,1,16,2.78,4.989295919233681e-06,18.0,11.1,6.4,4.19
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Does cognitive empathy exist?,court,29,16,2,16,2.7,4.882712786827587e-06,17.6,10.8,6.9,4.09
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Does cognitive empathy exist?,court,29,16,3,16,2.73,4.929815595122844e-06,17.7,10.3,6.6,4.06
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Generate a movie review,court,23,16,1,16,2.7,4.889194942853357e-06,17.6,10.1,6.4,3.98
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Generate a movie review,court,23,16,2,16,2.67,4.847320837604593e-06,17.5,9.9,6.3,4.1
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Generate a movie review,court,23,16,3,16,2.8,5.013603350429911e-06,18.0,10.8,6.8,4.04
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Identify popular dishes in Mexico.,court,34,16,1,16,2.78,4.986758888156779e-06,18.0,11.3,7.4,4.28
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Identify popular dishes in Mexico.,court,34,16,2,16,2.74,4.940755708955082e-06,17.8,10.5,6.6,4.12
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Identify popular dishes in Mexico.,court,34,16,3,16,2.78,4.994075312260697e-06,18.0,10.9,7.0,4.26
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,What is unique about a hyperbole?,court,33,16,1,16,2.82,5.0417196984748336e-06,18.2,11.2,7.2,4.38
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,What is unique about a hyperbole?,court,33,16,2,16,2.9,5.153434008971299e-06,18.6,11.5,7.4,4.14
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,What is unique about a hyperbole?,court,33,16,3,16,2.8,5.024282548051428e-06,18.1,10.4,6.6,4.08
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write an emergency response plan,court,32,16,1,16,2.73,4.923558794271844e-06,17.7,10.9,6.7,4.1
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write an emergency response plan,court,32,16,2,16,2.77,4.986259149051185e-06,18.0,10.7,6.8,4.05
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write an emergency response plan,court,32,16,3,16,2.74,4.935855364343876e-06,17.8,11.1,7.1,4.2
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Generate a quiz about physics.,court,30,16,1,16,2.78,4.986534958224852e-06,18.0,11.4,7.4,4.3
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Generate a quiz about physics.,court,30,16,2,16,2.74,4.938527912344662e-06,17.8,10.2,6.6,4.22
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Generate a quiz about physics.,court,30,16,3,16,2.77,4.985737889459068e-06,17.9,10.0,6.4,4.1
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Develop a metaphor for hope.,court,28,16,1,16,2.78,5.00128746887483e-06,18.0,11.5,7.5,4.35
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Develop a metaphor for hope.,court,28,16,2,16,2.77,4.981472698775727e-06,17.9,10.9,7.0,4.1
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Develop a metaphor for hope.,court,28,16,3,16,2.78,4.991638031421005e-06,18.0,11.5,7.4,4.28
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,1,16,3.0,5.240370663795865e-06,18.9,12.0,7.7,4.19
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,2,16,2.92,5.179743234330394e-06,18.6,12.3,8.3,4.45
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Summarize the poem ""Beat! Beat! Drums!""",court,39,16,3,16,2.93,5.194393732048622e-06,18.7,12.4,8.3,4.46
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Describe the primary colors.,court,28,16,1,16,2.7,4.8833365959684816e-06,17.6,11.3,7.3,4.26
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Describe the primary colors.,court,28,16,2,16,2.77,4.987199664573535e-06,18.0,10.7,6.8,4.02
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Describe the primary colors.,court,28,16,3,16,2.78,4.995305346292891e-06,18.0,10.1,6.2,3.81
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Name two first aid treatments for a cut.,court,40,16,1,16,2.8,5.015135994306344e-06,18.1,11.9,8.0,4.5
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Name two first aid treatments for a cut.,court,40,16,2,16,2.87,5.116460492089812e-06,18.4,11.3,7.2,4.13
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Name two first aid treatments for a cut.,court,40,16,3,16,2.83,5.068990690805864e-06,18.2,11.6,7.7,4.34
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write one sentence about handwashing.,court,37,16,1,16,2.73,4.934549700299374e-06,17.8,10.2,6.6,4.22
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write one sentence about handwashing.,court,37,16,2,16,2.77,4.978099178938364e-06,17.9,10.0,6.2,3.9
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write one sentence about handwashing.,court,37,16,3,16,2.76,4.967338068527751e-06,17.9,11.3,7.2,4.41
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Who is Samantha Andrews?,court,24,16,1,16,2.7,4.878212187568857e-06,17.6,10.1,6.5,4.16
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Who is Samantha Andrews?,court,24,16,2,16,2.73,4.931447387707529e-06,17.8,10.6,6.7,4.17
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Who is Samantha Andrews?,court,24,16,3,16,2.73,4.937461217361129e-06,17.8,10.6,6.5,3.98
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,What year did WW2 start?,court,24,16,1,16,2.78,4.986368332658622e-06,18.0,10.3,6.4,3.89
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,What year did WW2 start?,court,24,16,2,16,2.77,4.975302723173301e-06,17.9,10.7,6.7,4.03
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,What year did WW2 start?,court,24,16,3,16,2.78,4.987603108051759e-06,18.0,10.8,6.9,4.08
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Give 10 features of the sun.,court,28,16,1,16,2.77,4.972027396597417e-06,17.9,10.7,6.9,4.18
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Give 10 features of the sun.,court,28,16,2,16,2.8,5.015408651843201e-06,18.1,11.5,7.6,4.32
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Give 10 features of the sun.,court,28,16,3,16,2.79,5.008639840653981e-06,18.0,11.1,7.2,4.19
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write a mock newspaper headline.,court,32,16,1,16,2.73,4.922733652470126e-06,17.7,10.9,7.0,4.13
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write a mock newspaper headline.,court,32,16,2,16,2.76,4.965250340652931e-06,17.9,10.6,6.7,4.0
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Write a mock newspaper headline.,court,32,16,3,16,2.78,4.986764871020096e-06,18.0,11.8,7.8,4.45
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,1,16,2.94,5.199269529584441e-06,18.7,11.9,7.9,4.34
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,2,16,3.0,5.24168243594841e-06,18.9,12.2,7.9,4.25
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Create a data visualization of the latest COVID-19 cases in the US.,moyen,67,16,3,16,2.99,5.276179526671088e-06,19.0,12.3,8.2,4.29
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,16,1,16,3.04,5.290705787069844e-06,19.0,13.6,9.3,4.71
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,16,2,16,3.13,5.41899422074437e-06,19.5,13.6,9.1,4.51
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Calculate the price after discount.
Regular price: $100, Discount: 15%",moyen,70,16,3,16,3.04,5.296266333346588e-06,19.1,12.9,8.8,4.65
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,16,1,16,2.96,5.238310707575528e-06,18.9,12.0,7.9,4.32
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,16,2,16,2.98,5.260123955430234e-06,18.9,12.4,8.1,4.33
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Parse the given sentence grammatically.
The small jar sat on the shelf.",moyen,71,16,3,16,2.97,5.317099084347376e-06,19.1,12.5,8.3,4.34
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Rewrite the given program in Java.
a = 4
b = 5
c = a + b
print(c)",moyen,65,16,1,16,3.28,5.62735638401252e-06,20.3,15.4,10.6,4.77
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Rewrite the given program in Java.
a = 4
b = 5
c = a + b
print(c)",moyen,65,16,2,16,3.27,5.6054855934966905e-06,20.2,15.5,10.9,4.99
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Rewrite the given program in Java.
a = 4
b = 5
c = a + b
print(c)",moyen,65,16,3,16,3.27,5.6177248987941865e-06,20.2,14.5,10.0,4.68
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Based on the input, provide the correct spelling of the word.
ambigious",moyen,71,16,1,16,2.96,5.2450261334205514e-06,18.9,11.3,7.4,4.23
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Based on the input, provide the correct spelling of the word.
ambigious",moyen,71,16,2,16,3.0,5.245858359508169e-06,18.9,13.2,8.9,4.58
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Based on the input, provide the correct spelling of the word.
ambigious",moyen,71,16,3,16,2.96,5.232234618460134e-06,18.8,11.9,7.9,4.3
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Construct a query that returns information about the Eiffel Tower.,moyen,66,16,1,16,2.94,5.198841048386242e-06,18.7,12.9,8.6,4.46
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Construct a query that returns information about the Eiffel Tower.,moyen,66,16,2,16,2.91,5.15678248784084e-06,18.6,12.1,8.0,4.39
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Construct a query that returns information about the Eiffel Tower.,moyen,66,16,3,16,2.94,5.205122350862972e-06,18.7,12.1,8.1,4.39
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Create a set from the given input and find its size.
[1, 2, 3, 2, 4, 2]",moyen,71,16,1,16,3.35,5.72162501735108e-06,20.6,16.1,11.3,5.02
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Create a set from the given input and find its size.
[1, 2, 3, 2, 4, 2]",moyen,71,16,2,16,3.38,5.771838500377278e-06,20.8,15.5,10.6,4.83
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Create a set from the given input and find its size.
[1, 2, 3, 2, 4, 2]",moyen,71,16,3,16,3.36,5.746731293038239e-06,20.7,15.5,10.7,4.65
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"What are the different types of characters in the given play?
Macbeth",moyen,69,16,1,16,3.09,5.360829560397952e-06,19.3,12.4,8.0,4.19
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"What are the different types of characters in the given play?
Macbeth",moyen,69,16,2,16,2.95,5.224814402183381e-06,18.8,12.4,8.2,4.47
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"What are the different types of characters in the given play?
Macbeth",moyen,69,16,3,16,2.95,5.233234122908164e-06,18.8,11.5,7.5,4.33
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Find the x-intercept of the line given by the equation.
y = 4x + 10",moyen,67,16,1,16,3.13,5.415253065661871e-06,19.5,14.0,9.6,4.67
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Find the x-intercept of the line given by the equation.
y = 4x + 10",moyen,67,16,2,16,3.13,5.419566791906444e-06,19.5,13.7,9.3,4.56
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Find the x-intercept of the line given by the equation.
y = 4x + 10",moyen,67,16,3,16,3.13,5.410525865089884e-06,19.5,14.4,9.8,4.63
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Identify the most suitable adverb for the following sentence
She works",moyen,70,16,1,16,3.0,5.284252978929712e-06,19.0,12.4,7.9,4.17
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Identify the most suitable adverb for the following sentence
She works",moyen,70,16,2,16,2.95,5.226045896847485e-06,18.8,11.3,7.1,4.05
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Identify the most suitable adverb for the following sentence
She works",moyen,70,16,3,16,2.97,5.239372550472815e-06,18.9,12.6,8.5,4.57
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Generate a sentence using the words ""caffeine"", ""hunter"", and ""monday"".",moyen,71,16,1,16,3.04,5.291640398228284e-06,19.0,13.4,9.2,4.81
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Generate a sentence using the words ""caffeine"", ""hunter"", and ""monday"".",moyen,71,16,2,16,3.07,5.335336330000316e-06,19.2,13.8,9.2,4.62
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Generate a sentence using the words ""caffeine"", ""hunter"", and ""monday"".",moyen,71,16,3,16,3.1,5.3704434279563616e-06,19.3,12.7,8.2,4.27
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Sort the given words from most to least serious
Sneeze, trip, shout",moyen,67,16,1,16,3.11,5.379802075496042e-06,19.4,13.5,9.1,4.51
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Sort the given words from most to least serious
Sneeze, trip, shout",moyen,67,16,2,16,3.13,5.409482185127709e-06,19.5,13.5,9.2,4.49
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,"Sort the given words from most to least serious
Sneeze, trip, shout",moyen,67,16,3,16,3.05,5.311577970228865e-06,19.1,12.2,7.9,4.22
Pi5,Llama-3.2-1B,Q3_K_L,1,2048,Come up with at least 5 ways to use deep learning in healthcare.,moyen,64,16,1,16,2.98,5.2707902713371585e-06,19.0,11.9,7.7,4.29
